342809095 263.45129 +18.10553 3870 -0.24 -2.17 -22 -6.12 0.02 0.02 0.053 11.280 29.47 0.27 0.27 12.49 21.36 24.74 -13.47
318815093 233.31128 +12.40625 4386 0.53 -2.32 172 -5.32 0.16 0.28 0.287 10.854 15.04 1.82 1.15 11.45 3.53 11.98 -12.43
124809147 203.86729 +53.01481 4459 1.11 -1.59 -81 -4.74 0.48 0.52 0.122 11.215 14.68 3.13 3.63 13.09 11.94 17.71 -13.69
134405184 237.73714 +1.23273 4736 1.07 -1.68 -60 -3.56 0.96 1.10 0.060 11.084 8.26 3.28 4.59 5.31 2.04 5.69 -12.55
279409096 164.50194 +50.50267 4649 1.01 -2.20 -133 -4.54 0.44 0.52 0.057 11.072 12.91 2.75 2.90 11.00 14.53 18.23 -14.88
211504110 92.29215 -6.55766 3975 -0.07 -2.14 -491 -5.62 0.32 0.56 0.117 12.011 31.83 7.24 5.05 -6.79 37.99 38.59 -16.88
337613215 161.46292 +32.12435 4625 1.12 -2.19 80 -4.52 0.46 0.52 0.035 13.046 32.08 6.83 7.57 28.44 22.71 36.40 -16.02
307404008 88.16154 +50.62851 4279 0.81 -1.68 -167 -5.42 0.20 0.26 0.126 9.631 9.66 1.09 0.93 2.05 17.23 17.35 -12.51
135314077 234.46243 +4.94596 4537 1.33 -1.77 -22 -3.86 0.92 1.04 0.095 11.387 10.72 4.08 5.66 7.56 1.58 7.72 -11.73
229403199 223.65448 +5.13193 4408 0.47 -2.38 57 -4.96 0.42 0.74 1.105 14.208 40.98 11.83 8.74 32.90 16.47 36.79 -15.83
133605103 237.32028 -1.98831 4500 1.17 -1.88 33 -4.10 0.88 1.06 0.130 10.860 9.25 3.57 4.62 5.75 1.08 5.85 -11.14
284901052 130.91847 +26.80434 4702 1.03 -2.23 3 -4.32 0.72 1.02 -0.051 15.861 111.30 41.72 43.76 64.50 98.36 117.62 -20.37
337907017 246.47212 +11.76149 4783 1.59 -2.36 -73 -3.62 0.68 0.72 0.071 11.862 12.09 3.41 4.44 7.40 4.37 8.59 -12.21
232410239 137.40080 +6.24850 4661 1.26 -2.32 -12 -3.72 1.00 1.32 0.067 12.541 17.33 7.89 10.14 9.58 20.96 23.05 -14.72
157403217 325.85239 +4.74219 4626 1.28 -2.29 -234 -4.04 0.74 0.86 0.151 9.335 4.41 1.44 1.79 -2.48 6.98 7.41 -10.97
167915045 325.91895 +20.94956 4175 0.54 -1.48 -298 -5.62 0.18 0.22 0.127 8.084 5.19 0.50 0.45 -2.07 8.15 8.41 -10.10
236614214 242.68311 +7.72575 4714 1.47 -2.33 -128 -3.54 0.96 1.06 0.091 11.596 10.21 3.94 5.68 6.46 2.79 7.04 -11.17
332703244 181.24939 +28.39142 4719 1.56 -2.37 35 -4.20 0.40 0.42 0.118 8.754 3.69 0.65 0.75 3.66 8.61 9.36 -10.56
21314090 161.63658 +2.91342 4479 1.51 -2.39 -5 -3.86 1.10 8.94 0.065 15.221 63.56 62.52 41.92 49.81 43.32 66.01 -18.16
242411110 263.12067 +3.17197 4632 1.25 -2.39 -166 -4.24 0.68 0.82 0.146 11.360 12.33 3.88 4.53 4.04 5.75 7.03 -11.05
346611250 203.18254 +38.35065 4694 1.44 -2.36 -142 -3.76 0.88 1.00 0.164 15.396 62.85 23.20 31.41 60.97 17.08 63.32 -18.08
49413249 258.50229 +16.73896 4377 0.78 -2.12 -33 -5.18 0.28 0.42 0.050 12.104 27.98 4.92 3.85 13.54 18.85 23.21 -15.83
61303173 329.89111 +3.14558 4718 1.58 -2.24 -19 -3.60 0.86 0.94 0.137 10.887 7.41 2.60 3.60 -4.61 7.37 8.69 -12.18
301312163 59.74860 +36.05959 4445 0.64 -2.31 -82 -5.16 0.28 0.40 0.116 14.935 99.05 16.66 13.63 -22.09 104.11 106.43 -17.18
199904140 181.67848 +0.06755 4684 1.42 -2.37 34 -3.76 0.88 1.02 0.083 11.201 9.46 3.54 4.72 8.29 8.55 11.91 -12.71
334710197 259.93362 +45.25630 4729 1.38 -2.38 -73 -3.76 0.72 0.80 0.074 10.550 7.03 2.17 2.76 4.02 8.20 9.14 -11.86
230903068 259.17325 +4.93415 4674 1.44 -2.31 -11 -3.56 0.90 0.96 0.112 8.839 2.87 1.02 1.47 1.16 5.76 5.87 -9.48
150407205 258.23758 +44.53477 4542 1.01 -2.32 -130 -4.72 0.46 0.62 0.125 10.694 11.42 2.84 2.70 6.70 9.96 12.00 -12.74
257514091 63.35504 +22.54055 4646 1.50 -2.18 -71 -3.92 0.66 0.72 0.254 12.124 14.39 4.06 5.11 -4.98 21.44 22.01 -14.24
321008244 229.00475 +36.41204 4762 1.34 -2.36 -181 -3.76 0.84 0.96 0.062 11.754 12.31 4.40 5.81 10.48 7.26 12.75 -13.25
335306144 234.36188 +15.92601 4726 1.52 -2.26 -263 -3.84 0.64 0.68 0.071 12.576 18.58 5.00 6.37 14.26 5.83 15.41 -13.94
350208041 231.56404 +32.67740 4607 1.06 -2.27 -227 -4.50 0.52 0.60 0.084 11.507 15.29 3.69 4.14 12.73 7.24 14.65 -14.95
78215139 339.65561 +8.49728 4316 1.75 -2.26 -315 -4.76 0.60 0.98 0.282 15.415 95.20 34.58 30.30 -63.67 69.27 94.09 -16.79
347714155 270.13583 +7.22898 4261 0.56 -2.05 -166 -5.56 0.10 0.16 0.160 11.300 21.88 1.55 1.03 5.54 15.18 16.16 -11.86
234109210 224.09511 +18.50723 4694 1.43 -2.21 -101 -3.94 0.76 0.88 0.138 10.290 6.58 2.19 2.76 5.73 5.13 7.69 -11.52
157604152 10.05217 +27.49021 4723 1.49 -2.31 -93 -3.90 0.58 0.62 0.148 8.522 2.85 0.71 0.87 -1.62 9.38 9.52 -9.82
327111044 135.92722 +50.12981 4589 1.02 -2.38 -127 -4.38 0.64 0.84 0.058 10.817 10.66 3.42 3.65 7.08 15.92 17.42 -14.79
199015024 157.13654 +30.74215 4619 0.94 -1.90 -36 -4.42 0.62 0.76 -0.157 15.210 90.66 26.77 29.96 77.46 54.83 94.90 -20.45
296308069 142.54297 +2.72555 4766 1.55 -2.38 96 -3.66 0.62 0.66 0.079 10.468 6.45 1.69 2.13 3.83 11.99 12.59 -11.50
126506223 213.03131 +42.42483 4666 1.31 -2.39 -210 -3.66 1.10 1.68 0.137 13.022 20.37 10.97 13.44 18.86 10.26 21.47 -16.86
236608219 245.37724 +5.96001 4510 1.05 -2.22 -162 -4.80 0.44 0.58 0.145 10.795 12.30 2.88 2.76 7.24 3.65 8.11 -11.67
