# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
242411110 263.12067 +3.17197 26.58589 +18.98671 4632 1.25 -2.39 -166 0.76014 -4.24 0.68 0.82 0.146 11.360 12.33 3.88 4.53 4.04 5.75 7.03 -10.42
49413249 258.50229 +16.73896 37.92623 +28.87026 4377 0.78 -2.12 -33 -0.42199 -5.18 0.28 0.42 0.050 12.104 27.98 4.92 3.85 13.54 18.85 23.21 -15.65
61303173 329.89111 +3.14558 62.23666 -38.69897 4718 1.58 -2.24 -19 0.68185 -3.60 0.86 0.94 0.137 10.887 7.41 2.60 3.60 -4.61 7.37 8.69 -11.91
6602084 52.67330 +4.05918 180.08324 -40.51396 4618 1.17 -2.20 -32 0.81049 -3.62 1.32 1.76 0.410 14.233 30.80 17.10 25.76 -19.98 31.41 37.23 -14.95
55604152 10.05221 +27.49019 119.87980 -35.31500 4737 1.55 -2.32 -95 0.64062 -3.72 0.70 0.72 0.148 8.522 2.62 0.74 1.00 -1.49 9.25 9.37 -8.94
199904140 181.67848 +0.06755 279.44692 +60.88356 4684 1.42 -2.37 34 0.81432 -3.76 0.88 1.02 0.083 11.201 9.46 3.54 4.72 8.29 8.55 11.91 -11.67
334710197 259.93362 +45.25630 70.96246 +34.60482 4729 1.38 -2.38 -73 0.52120 -3.76 0.72 0.80 0.074 10.550 7.03 2.17 2.76 4.02 8.20 9.14 -10.42
230903068 259.17325 +4.93415 26.30777 +23.29264 4674 1.44 -2.31 -11 0.86288 -3.56 0.90 0.96 0.112 8.839 2.87 1.02 1.47 1.16 5.76 5.87 -6.77
150407205 258.23758 +44.53477 69.95750 +35.74028 4542 1.01 -2.32 -130 0.47983 -4.72 0.46 0.62 0.125 10.694 11.42 2.84 2.70 6.70 9.96 12.00 -12.58
257514091 63.35504 +22.54055 172.41198 -20.37177 4646 1.50 -2.18 -71 0.66951 -3.92 0.66 0.72 0.254 12.124 14.39 4.06 5.11 -4.98 21.44 22.01 -14.24
321008244 229.00475 +36.41204 58.97468 +58.10779 4762 1.34 -2.36 -181 0.91068 -3.76 0.84 0.96 0.062 11.754 12.31 4.40 5.81 10.48 7.26 12.75 -13.22
335306144 234.36188 +15.92601 25.40619 +50.00256 4726 1.52 -2.26 -263 0.41112 -3.84 0.64 0.68 0.071 12.576 18.58 5.00 6.37 14.26 5.83 15.41 -13.68
