# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
115605141 204.59236 +32.55089 63.81912 +78.47872 4362 0.69 -2.10 -193 0.46083 -5.30 0.22 0.34 0.185 10.142 11.25 1.63 1.20 11.05 7.29 13.24 -13.33
14811107 359.76837 +33.11481 110.46691 -28.48630 4345 1.39 -1.17 -31 2.22153 -4.26 0.60 0.60 0.048 11.681 15.09 3.64 4.80 -7.17 17.72 19.12 -13.77
144602015 194.14989 +26.16486 353.35081 +88.49724 4604 1.25 -2.29 -225 0.59334 -4.18 0.76 0.94 0.098 11.457 12.82 4.50 5.37 12.84 7.67 14.95 -13.21
212712216 164.67061 +29.17251 201.56841 +65.12069 4267 0.70 -2.18 37 1.69936 -4.76 0.62 0.98 0.209 13.863 48.17 17.49 15.92 43.72 27.86 51.84 -17.78
46414132 244.30675 +38.42602 61.27659 +45.88396 4440 0.90 -2.18 -100 0.29952 -4.96 0.38 0.50 0.145 12.402 27.76 5.71 5.31 19.96 16.99 26.21 -15.38
343516250 183.07585 +19.29304 251.97247 +78.08295 4622 1.23 -2.21 -6 0.52567 -4.30 0.62 0.72 0.099 13.417 33.39 9.42 11.03 32.69 12.07 34.85 -15.29
19609236 180.64743 +6.97931 270.79414 +66.75279 4505 0.84 -2.25 82 1.05935 -4.12 0.94 1.26 0.061 13.295 29.57 13.02 16.02 27.20 14.06 30.62 -16.00
151007020 256.23874 +37.34934 60.90886 +36.41649 4568 1.09 -2.26 -153 0.16165 -4.38 0.66 0.84 0.116 11.334 13.17 4.23 4.68 7.85 9.69 12.47 -14.08
28415115 167.15428 +30.61618 197.98150 +67.27212 4339 0.63 -2.13 52 -0.39272 -5.30 0.22 0.34 0.065 12.481 34.93 5.06 3.72 32.24 21.25 38.61 -16.96
213008080 70.75767 +20.56758 178.70513 -16.41678 3908 1.58 -1.30 -132 2.42934 -5.90 0.18 0.28 0.231 10.989 21.46 2.60 1.85 -6.04 28.58 29.21 -15.42
90903040 151.58386 +35.82165 188.49925 +54.01941 4536 1.04 -2.29 -150 0.45555 -4.72 0.48 0.62 0.054 11.346 15.94 3.96 3.94 12.92 17.31 21.61 -14.50
14108042 156.55070 +30.54963 198.00682 +58.14671 4312 0.41 -2.38 109 0.25462 -5.32 0.18 0.30 0.050 12.899 43.02 5.55 3.72 36.57 30.41 47.57 -17.29
8504030 87.18254 +27.95054 181.19725 +0.07389 4518 1.00 -2.19 -204 0.46273 -4.56 0.58 0.74 0.436 11.858 15.72 4.54 4.81 0.05 23.72 23.72 -12.40
241408110 179.59253 +7.57479 267.74373 +66.74901 4668 1.45 -2.28 252 0.72720 -4.32 0.62 0.82 0.159 10.289 7.76 2.44 2.57 7.16 8.68 11.25 -13.40
49203160 196.64050 +18.83235 326.46036 +81.00524 4570 0.96 -2.36 -116 0.86025 -4.58 0.54 0.68 0.080 12.317 23.09 6.21 6.52 22.83 5.37 23.46 -15.68
